id,username,vehicleId,eloRating
drv-syn-001,2JZWhisperer,veh-syn-001,1642
drv-syn-002,GodzillaGrip,veh-syn-002,1987
drv-syn-003,VtecSociety,veh-syn-003,1420
drv-syn-004,RotaryKing,veh-syn-004,1588
drv-syn-005,BoostedBoxer,veh-syn-005,1311
drv-syn-006,EvoTrackRat,veh-syn-006,1495
drv-syn-007,V8Touge,veh-syn-007,1366
drv-syn-008,HybridHunter,veh-syn-008,2012
drv-syn-009,ThreeCylinderTerror,veh-syn-009,1274
drv-syn-010,FairladyFlyby,veh-syn-010,1398
drv-syn-011,ApexHunter,veh-syn-011,1723
drv-syn-012,MiataIsAlwaysAnswer,veh-syn-012,1129
drv-syn-013,DriftPanda,veh-syn-013,1044
drv-syn-014,TwinTurboTea,veh-syn-014,1188
drv-syn-015,NaturallyAspirated,veh-syn-015,1247
drv-syn-016,TougePhantom,veh-syn-016,1456
drv-syn-017,ActiveAeroAndy,veh-syn-017,987
drv-syn-018,RingRat,veh-syn-018,1884
drv-syn-019,CarbonCreep,veh-syn-019,2120
drv-syn-020,WingThing,veh-syn-020,2341
drv-syn-021,MidEngineMenace,veh-syn-021,2198
drv-syn-022,FiveCylinderFiend,veh-syn-022,1566
drv-syn-023,QuattroQueen,veh-syn-023,2066
drv-syn-024,BiturboBaron,veh-syn-024,1677
drv-syn-025,Panamericana,veh-syn-025,1923
drv-syn-026,HatchbackHooligan,veh-syn-026,1289
drv-syn-027,ShortWheelbase,veh-syn-027,1744
drv-syn-028,WagonWednesday,veh-syn-028,1811
drv-syn-029,SleeperEstate,veh-syn-029,1699
drv-syn-030,SilentLaunch,veh-syn-030,1988
drv-syn-031,ItalianStallion,veh-syn-031,1522
drv-syn-032,LightIsRight,veh-syn-032,1788
drv-syn-033,BondNotIncluded,veh-syn-033,1855
drv-syn-034,TorqueVectorTom,veh-syn-034,1411
drv-syn-035,CoyoteHowl,veh-syn-035,1333
drv-syn-036,BoostedV8,veh-syn-036,2089
drv-syn-037,WidebodyWednesday,veh-syn-037,1655
drv-syn-038,FourDoorFury,veh-syn-038,1220
drv-syn-039,LSswapLater,veh-syn-039,1388
drv-syn-040,SuperchargedSam,veh-syn-040,1892
drv-syn-041,StingraySteve,veh-syn-041,1966
drv-syn-042,FlatPlaneCrank,veh-syn-042,2488
drv-syn-043,LuxuryBurnout,veh-syn-043,1712
drv-syn-044,SUVFromHell,veh-syn-044,1544
drv-syn-045,LudicrousMode,veh-syn-045,2234
drv-syn-046,DesertRunner,veh-syn-046,1199
drv-syn-047,RedeyeRick,veh-syn-047,1876
drv-syn-048,ShakerHood,veh-syn-048,1467
drv-syn-049,TruckYeah,veh-syn-049,892
drv-syn-050,FamilyCarMyFoot,veh-syn-050,512
